bfs_name,lat,lon
Adliswil,47.310930252075195,8.52316701412201
Affoltern am Albis,47.28083504570855,8.447802331712511
Andelfingen,47.594041188557945,8.679091453552246
Bachenbülach,47.50579643249512,8.544413089752197
Bassersdorf,47.43820285797119,8.633100032806396
Bauma,47.37283515930176,8.854908466339111
Bonstetten,47.31501007080078,8.470076560974121
Brütten,47.4720458984375,8.673756122589111
Buchs (ZH),47.453125,8.42919635772705
Bäretswil,47.33984756469727,8.846009254455566
Bülach,47.519343566894534,8.5398281733195
Dielsdorf,47.479800415039065,8.454447555541993
Dietikon,47.40941057707134,8.403619013334575
Dietlikon,47.42664413452148,8.620266914367676
Dübendorf,47.40141805013021,8.613010247548422
Dürnten,47.2767448425293,8.850032329559326
Egg,47.29775619506836,8.692445755004883
Eglisau,47.575480143229164,8.517463684082031
Elsau,47.504170417785645,8.802351474761963
Embrach,47.509860038757324,8.595427751541138
Fehraltorf,47.38572616577149,8.757724952697753
Feuerthalen,47.68879263741629,8.647023473467145
Fällanden,47.36868476867676,8.62859042485555
Glattfelden,47.566819763183595,8.479211807250977
Gossau (ZH),47.30550994873047,8.767629241943359
Greifensee,47.370107650756836,8.685935020446777
Hausen am Albis,47.252140045166016,8.53031063079834
Hedingen,47.29815101623535,8.450382471084595
Herrliberg,47.29433059692383,8.633421897888184
Hinwil,47.30254364013672,8.83609652519226
Hittnau,47.370025634765625,8.819698333740234
Hochfelden,47.52355194091797,8.51548957824707
Hombrechtikon,47.251842975616455,8.775048613548279
Hüttikon,47.44540023803711,8.387784957885742
Illnau-Effretikon,47.429330825805664,8.686185836791992
Kloten,47.445955129770134,8.58423034961407
Knonau,47.22549247741699,8.461644649505615
Küsnacht (ZH),47.31973648071289,8.595347086588541
Langnau am Albis,47.287497202555336,8.529908498128256
Laufen-Uhwiesen,47.67388916015625,8.632291793823242
Lufingen,47.48583094278971,8.591005643208822
Maur,47.35679244995117,8.633108139038086
Meilen,47.27062861124674,8.64123821258545
Mettmenstetten,47.24298858642578,8.45803451538086
Männedorf,47.256217956542976,8.689555168151855
Mönchaltorf,47.31597137451172,8.719728469848633
Neerach,47.51153087615967,8.47110652923584
Niederglatt,47.492113749186196,8.501464207967123
Niederhasli,47.48185348510742,8.495015335083007
Niederweningen,47.508734130859374,8.37294273376465
Nürensdorf,47.45838928222656,8.638628959655762
Oberengstringen,47.407087326049805,8.464881896972656
Oberglatt,47.47789306640625,8.518560981750488
Obfelden,47.2601432800293,8.429612159729004
Oetwil am See,47.27392053604126,8.720972299575806
Opfikon,47.438770904541016,8.575954399108888
Pfungen,47.51834964752197,8.641830444335938
Pfäffikon,47.36850814819336,8.782468223571778
Regensdorf,47.445961475372314,8.466604351997375
Rheinau,47.64251518249512,8.60271167755127
Richterswil,47.20519828796387,8.70151980717977
Rickenbach (ZH),47.54574457804362,8.790389696756998
Rorbas,47.53269704182943,8.580904642740885
Russikon,47.397661209106445,8.771655797958374
Rümlang,47.4549560546875,8.524186134338379
Rüti (ZH),47.258008321126304,8.85670264561971
Schlatt (ZH),47.46413803100586,8.845952033996582
Schlieren,47.400221143450054,8.442373888833183
Schwerzenbach,47.38499450683594,8.64946715037028
Seegräben,47.34151840209961,8.770170211791992
Seuzach,47.53800964355469,8.729127883911133
Stadel,47.53174209594727,8.465595245361328
Steinmaur,47.48777770996094,8.441856384277344
Stäfa,47.24422264099121,8.727231820424398
Thalwil,47.28451690673828,8.573451232910156
Uetikon am See,47.26718521118164,8.689931869506836
Uitikon,47.359153747558594,8.469325065612793
Unterengstringen,47.410074869791664,8.444167137145996
Urdorf,47.40236841837565,8.4064421971639
Uster,47.349968168470596,8.719801743825277
Volketswil,47.387102127075195,8.675299882888794
Wald (ZH),47.276848793029785,8.911797046661377
Wallisellen,47.420448303222656,8.610710673862034
Wangen-Brüttisellen,47.42356745402018,8.633115450541178
Weiach,47.56271362304688,8.427143096923828
Weiningen (ZH),47.4192263285319,8.437452634175619
Wetzikon (ZH),47.32592258453369,8.802443408966065
Wiesendangen,47.53267923990885,8.791062355041504
Winkel,47.49074935913086,8.554258346557617
Winterthur,47.50030529137814,8.73539147232518
Zell (ZH),47.4447135925293,8.822138786315918
Zollikon,47.34506352742513,8.587018330891928
Zürich,47.38297237049449,8.529439933083275
